"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 09:40:36 UTC 2025","Mon Sep 29 09:40:39 UTC 2025","3631","","Place Order (Checkout)","","Place order with valid details","","Place order with valid details","  As a Customer
  I want to place an order
  So that I receive a confirmation of my purchase"
"passed","Mon Sep 29 09:36:49 UTC 2025","Mon Sep 29 09:36:52 UTC 2025","3155","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testOrderModalTitle","testOrderModalTitle()","Verify that the modal title is correct"
"passed","Mon Sep 29 09:40:10 UTC 2025","Mon Sep 29 09:40:11 UTC 2025","1850","","Contact form","","Send a contact message successfully","","Send a contact message successfully","  As a customer
  I want to use the Contact form
  So that I can send a message to the store"
"passed","Mon Sep 29 09:40:28 UTC 2025","Mon Sep 29 09:40:29 UTC 2025","1796","","Homepage","","Navigate to product detail page","","Navigate to product detail page","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"failed","Mon Sep 29 09:38:13 UTC 2025","Mon Sep 29 09:38:19 UTC 2025","6118","","com.ecommerce.tests.AboutUsPageTest","","com.ecommerce.tests.AboutUsPageTest","testOpenAboutUsModal","testOpenAboutUsModal()","Verify About Us modal opens and is displayed with correct title"
"passed","Mon Sep 29 09:38:39 UTC 2025","Mon Sep 29 09:38:40 UTC 2025","863","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testAuthLinksVisibleLoggedOut","testAuthLinksVisibleLoggedOut()","Verify login and signup links are visible when logged out"
"failed","Mon Sep 29 09:39:16 UTC 2025","Mon Sep 29 09:39:22 UTC 2025","6133","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitValidMessage","testSubmitValidMessage()","Submit contact form with valid data"
"passed","Mon Sep 29 09:40:26 UTC 2025","Mon Sep 29 09:40:28 UTC 2025","1621","","Homepage","","Navigate to product detail page","","Navigate to product detail page","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"failed","Mon Sep 29 09:39:10 UTC 2025","Mon Sep 29 09:39:16 UTC 2025","6076","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testContactModalOpens","testContactModalOpens()","Verify the Contact modal opens and displays correct title"
"failed","Mon Sep 29 09:37:49 UTC 2025","Mon Sep 29 09:37:55 UTC 2025","6111","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testEmptyPassword","testEmptyPassword()","Verify login fails with empty password"
"failed","Mon Sep 29 09:38:25 UTC 2025","Mon Sep 29 09:38:32 UTC 2025","6053","","com.ecommerce.tests.AboutUsPageTest","","com.ecommerce.tests.AboutUsPageTest","testCloseModalWithCloseButton","testCloseModalWithCloseButton()","Verify Close button is visible and can close the modal"
"failed","Mon Sep 29 09:35:48 UTC 2025","Mon Sep 29 09:35:56 UTC 2025","7423","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testShortPassword","testShortPassword()","Verify signup fails with short password"
"failed","Mon Sep 29 09:37:30 UTC 2025","Mon Sep 29 09:37:37 UTC 2025","6159","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testInvalidPassword","testInvalidPassword()","Verify login fails with invalid password"
"failed","Mon Sep 29 09:40:29 UTC 2025","Mon Sep 29 09:40:30 UTC 2025","889","","Homepage","","Verify homepage navigation menu","","Verify homepage navigation menu","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"failed","Mon Sep 29 09:37:55 UTC 2025","Mon Sep 29 09:38:01 UTC 2025","6133","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testEmptyCredentials","testEmptyCredentials()","Verify login fails with both username and password empty"
"failed","Mon Sep 29 09:35:56 UTC 2025","Mon Sep 29 09:36:02 UTC 2025","6259","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testSpecialCharsUsername","testSpecialCharsUsername()","Verify signup with username containing special characters"
"failed","Mon Sep 29 09:37:37 UTC 2025","Mon Sep 29 09:37:43 UTC 2025","6132","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testInvalidUsername","testInvalidUsername()","Verify login fails with invalid username"
"passed","Mon Sep 29 09:40:05 UTC 2025","Mon Sep 29 09:40:07 UTC 2025","2400","","Shopping Cart","","View products in cart","","View products in cart","  As a customer
  I want to manage products in my cart
  So that I can review or remove items before purchase"
"passed","Mon Sep 29 09:37:03 UTC 2025","Mon Sep 29 09:37:07 UTC 2025","3863","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testEmptyNameOrderSubmission","testEmptyNameOrderSubmission()","Verify that submitting an order with empty name triggers an alert"
"passed","Mon Sep 29 09:39:00 UTC 2025","Mon Sep 29 09:39:02 UTC 2025","1498","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testClickProductOpensDetailPage","testClickProductOpensDetailPage()","Verify clicking a product opens its Product Detail Page"
"passed","Mon Sep 29 09:40:30 UTC 2025","Mon Sep 29 09:40:31 UTC 2025","919","","Homepage","","Verify homepage slider","","Verify homepage slider","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"failed","Mon Sep 29 09:36:33 UTC 2025","Mon Sep 29 09:36:39 UTC 2025","6245","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testSqlInjectionAttempt","testSqlInjectionAttempt()","Verify signup fails with SQL injection attempt in username"
"passed","Mon Sep 29 09:38:58 UTC 2025","Mon Sep 29 09:38:59 UTC 2025","1043","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testProductsAreDisplayed","testProductsAreDisplayed()","Verify products are displayed on the homepage (count > 0)"
"passed","Mon Sep 29 09:37:19 UTC 2025","Mon Sep 29 09:37:22 UTC 2025","2374","","com.ecommerce.tests.CartPageTest","","com.ecommerce.tests.CartPageTest","testAddSingleProductToCart","testAddSingleProductToCart()","Verify that a single product can be added to the cart"
"passed","Mon Sep 29 09:36:59 UTC 2025","Mon Sep 29 09:37:03 UTC 2025","3834","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testEmptyOrderSubmission","testEmptyOrderSubmission()","Verify that submitting an order with empty fields triggers an alert"
"passed","Mon Sep 29 09:39:06 UTC 2025","Mon Sep 29 09:39:07 UTC 2025","1796","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testPreviousButtonNavigatesBackToPreviousPage","testPreviousButtonNavigatesBackToPreviousPage()","Verify Previous button navigates back to the previous product page"
"failed","Mon Sep 29 09:38:32 UTC 2025","Mon Sep 29 09:38:38 UTC 2025","6165","","com.ecommerce.tests.AboutUsPageTest","","com.ecommerce.tests.AboutUsPageTest","testCloseModalWithCloseIcon","testCloseModalWithCloseIcon()","Verify Close icon (X) closes the modal"
"passed","Mon Sep 29 09:38:38 UTC 2025","Mon Sep 29 09:38:39 UTC 2025","1204","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testNavbarLinksLoggedOut","testNavbarLinksLoggedOut()","Verify navbar links are visible when user is logged out"
"passed","Mon Sep 29 09:38:53 UTC 2025","Mon Sep 29 09:38:54 UTC 2025","804","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testSliderImageCount","testSliderImageCount()","Verify slider has at least the expected number of images"
"failed","Mon Sep 29 09:39:52 UTC 2025","Mon Sep 29 09:39:58 UTC 2025","6136","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testCloseModalWithCloseButton","testCloseModalWithCloseButton()","Verify the Contact modal can be closed with the Close button"
"passed","Mon Sep 29 09:39:03 UTC 2025","Mon Sep 29 09:39:04 UTC 2025","1358","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testProductPriceFormat","testProductPriceFormat()","Verify product prices display in expected format ($<amount>)"
"failed","Mon Sep 29 09:38:40 UTC 2025","Mon Sep 29 09:38:46 UTC 2025","6086","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testUserLoggedInState","testUserLoggedInState()","Verify user can log in and welcome message is displayed"
"passed","Mon Sep 29 09:37:22 UTC 2025","Mon Sep 29 09:37:24 UTC 2025","2612","","com.ecommerce.tests.CartPageTest","","com.ecommerce.tests.CartPageTest","testDeleteProductFromCart","testDeleteProductFromCart()","Verify that a product can be deleted from the cart"
"failed","Mon Sep 29 09:36:39 UTC 2025","Mon Sep 29 09:36:46 UTC 2025","6212","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testValidSignup","testValidSignup()","Verify successful signup with valid credentials"
"passed","Mon Sep 29 09:38:52 UTC 2025","Mon Sep 29 09:38:53 UTC 2025","883","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testSliderIsDisplayed","testSliderIsDisplayed()","Verify slider is displayed on the homepage"
"failed","Mon Sep 29 09:38:46 UTC 2025","Mon Sep 29 09:38:52 UTC 2025","5964","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testUserLoggedOutState","testUserLoggedOutState()","Verify logout state restores login and signup links"
"failed","Mon Sep 29 09:36:27 UTC 2025","Mon Sep 29 09:36:33 UTC 2025","6189","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testExistingUserSignup","testExistingUserSignup()","Verify signup fails with existing username"
"passed","Mon Sep 29 09:40:31 UTC 2025","Mon Sep 29 09:40:32 UTC 2025","956","","Homepage","","Verify categories section","","Verify categories section","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"passed","Mon Sep 29 09:40:11 UTC 2025","Mon Sep 29 09:40:13 UTC 2025","1380","","Contact form","","Close the Contact form with X button","","Close the Contact form with X button","  As a customer
  I want to use the Contact form
  So that I can send a message to the store"
"passed","Mon Sep 29 09:38:54 UTC 2025","Mon Sep 29 09:38:56 UTC 2025","1186","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testSelectPhonesCategory","testSelectPhonesCategory()","Verify Phones category filters products correctly"
"failed","Mon Sep 29 09:36:21 UTC 2025","Mon Sep 29 09:36:27 UTC 2025","6173","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testEmptyPassword","testEmptyPassword()","Verify signup fails with empty password"
"failed","Mon Sep 29 09:38:01 UTC 2025","Mon Sep 29 09:38:07 UTC 2025","6109","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testSQLInjectionLogin","testSQLInjectionLogin()","Verify login fails with SQL Injection attempt"
"failed","Mon Sep 29 09:39:46 UTC 2025","Mon Sep 29 09:39:52 UTC 2025","6172","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitWithInvalidEmail","testSubmitWithInvalidEmail()","Attempt to submit message with invalid email"
"failed","Mon Sep 29 09:37:07 UTC 2025","Mon Sep 29 09:37:13 UTC 2025","6124","","com.ecommerce.tests.CartPageTest","","com.ecommerce.tests.CartPageTest","testCartPageLoadsSuccessfully","testCartPageLoadsSuccessfully()","Verify that the cart page loads successfully"
"passed","Mon Sep 29 09:39:07 UTC 2025","Mon Sep 29 09:39:09 UTC 2025","1093","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testNextButtonVisibleWhenMultiplePagesExist","testNextButtonVisibleWhenMultiplePagesExist()","Verify Next button is visible when multiple pages exist"
"failed","Mon Sep 29 09:39:22 UTC 2025","Mon Sep 29 09:39:28 UTC 2025","5958","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitWithoutEmail","testSubmitWithoutEmail()","Attempt to submit message with missing email"
"failed","Mon Sep 29 09:38:19 UTC 2025","Mon Sep 29 09:38:25 UTC 2025","6074","","com.ecommerce.tests.AboutUsPageTest","","com.ecommerce.tests.AboutUsPageTest","testModalContainsMedia","testModalContainsMedia()","Verify About Us modal contains video/media content"
"passed","Mon Sep 29 09:36:52 UTC 2025","Mon Sep 29 09:36:55 UTC 2025","2870","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testOrderModalTotalAmount","testOrderModalTotalAmount()","Verify that the total amount displayed in the modal matches the cart total"
"failed","Mon Sep 29 09:36:08 UTC 2025","Mon Sep 29 09:36:14 UTC 2025","6204","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testEmptyUsername","testEmptyUsername()","Verify signup fails with empty username"
"passed","Mon Sep 29 09:39:04 UTC 2025","Mon Sep 29 09:39:06 UTC 2025","1405","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testNextButtonNavigatesToNextPage","testNextButtonNavigatesToNextPage()","Verify Next button navigates to the next product page"
"failed","Mon Sep 29 09:39:34 UTC 2025","Mon Sep 29 09:39:40 UTC 2025","6170","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitWithoutMessage","testSubmitWithoutMessage()","Attempt to submit message with missing message body"
"passed","Mon Sep 29 09:36:55 UTC 2025","Mon Sep 29 09:36:59 UTC 2025","4675","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testSuccessModalDisplayed","testSuccessModalDisplayed()","Verify that the success modal is displayed after clicking purchase"
"passed","Mon Sep 29 09:38:56 UTC 2025","Mon Sep 29 09:38:58 UTC 2025","1132","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testSelectMonitorsCategory","testSelectMonitorsCategory()","Verify Monitors category filters products correctly"
